zipcode,median_income
10001,101409
10002,37093
10003,137533
10004,216017
10005,197188
10006,200536
10007,250001
10007,250001
10009,77551
10010,131635
10011,139343
10012,117581
10013,137572
10014,136559
10014,136559
10016,136431
10017,136112
10018,130457
10019,105538
10020,-666666666
10021,136060
10022,156255
10023,136109
10024,153177
10025,103440
10026,65038
10027,58435
10028,149789
10029,33901
10030,42834
10031,57180
10032,55059
10033,71630
10034,63851
10035,32555
10036,98177
10037,48782
10038,99924
10039,50164
10040,54700
10040,54700
10040,54700
10040,54700
10044,115294
10044,115294
10044,115294
10044,115294
10044,115294
10044,115294
10044,115294
10044,115294
10044,115294
10044,115294
10044,115294
10044,115294
10044,115294
10044,115294
10044,115294
10044,115294
10044,115294
10044,115294
10044,115294
10044,115294
10044,115294
10065,152335
10065,152335
10065,152335
10065,152335
10069,183178
10069,183178
10069,183178
10069,183178
10069,183178
10069,183178
10075,131372
10075,131372
10075,131372
10075,131372
10075,131372
10075,131372
10075,131372
10075,131372
10075,131372
10075,131372
10075,131372
10075,131372
10075,131372
10075,131372
10075,131372
10075,131372
10075,131372
10075,131372
10075,131372
10075,131372
10075,131372
10075,131372
10075,131372
10075,131372
10075,131372
10075,131372
10075,131372
10075,131372
10103,-666666666
10103,-666666666
10103,-666666666
10103,-666666666
10103,-666666666
10103,-666666666
10103,-666666666
10110,-666666666
10111,-666666666
10112,-666666666
10112,-666666666
10112,-666666666
10115,-666666666
10115,-666666666
10115,-666666666
10115,-666666666
10119,-666666666
10119,-666666666
10119,-666666666
10119,-666666666
10119,-666666666
10119,-666666666
10119,-666666666
10119,-666666666
10119,-666666666
10128,127919
10128,127919
10128,127919
10128,127919
10128,127919
10128,127919
10128,127919
10128,127919
10128,127919
10128,127919
10128,127919
10128,127919
10128,127919
10128,127919
10128,127919
10128,127919
10128,127919
10128,127919
10128,127919
10128,127919
10128,127919
10128,127919
10128,127919
10128,127919
10152,-666666666
10153,-666666666
10154,-666666666
10154,-666666666
10154,-666666666
10154,-666666666
10154,-666666666
10154,-666666666
10154,-666666666
10154,-666666666
10162,99300
10162,99300
10162,99300
10165,-666666666
10165,-666666666
10167,-666666666
10168,-666666666
10169,-666666666
10170,-666666666
10171,-666666666
10172,-666666666
10173,-666666666
10174,-666666666
10174,-666666666
10174,-666666666
10177,-666666666
10177,-666666666
10177,-666666666
10177,-666666666
10177,-666666666
10177,-666666666
10177,-666666666
10177,-666666666
10177,-666666666
10177,-666666666
10177,-666666666
10177,-666666666
10177,-666666666
10177,-666666666
10177,-666666666
10177,-666666666
10177,-666666666
10177,-666666666
10177,-666666666
10177,-666666666
10177,-666666666
10177,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10199,-666666666
10271,-666666666
10271,-666666666
10271,-666666666
